Make,Model,Year,Color,Miles,MPG,Odo,Date,Amount,Desc,Mechanic,Address,Phone
GMC,Sierra 2500 Extended Cab,2001,BurlyWood,1130,0,1130,1989-07-29,788.947807316019,Hospital road energy.,Lisa Marshall,49615 Goodman ForestKeithfort| ND 67205,+1-028-520-9580x8487,
GMC,Savana 1500 Passenger,2000,SlateBlue,4096,11,4096,1998-06-22,85.6992098730074,Support condition attention soon.,Ashley Luna,2967 Griffith VistaEast Lorraine| AR 99156,229.133.2091,
Dodge,Ram Wagon B250,1994,RosyBrown,3551,53,3551,1994-01-17,64834852.74641,Attack candidate Republican.,Helen Oconnor,4818 Lozano View Apt. 173Vincenttown| TX 04908,+1-155-883-9388,
Lincoln,MKT,2013,Magenta,9437,46,9437,2007-03-24,56.2692692896662,Especially movie civil.,Erika Torres,89083 Taylor Ford Suite 409Dennisbury| NJ 27461,602-257-4973x7647,
Mitsubishi,Outlander Sport,2016,Yellow,2831,19,2831,2014-02-02,5753125502.10695,Guy about friend development true view.,Levi Wiggins,503 Kristen RanchMatthewside| GA 15960,+1-898-468-0891x0932,
MAZDA,Navajo,1993,LawnGreen,983,18,983,1984-10-12,506256274346.592,Small relate bring once.,Leslie Lewis,66763 Rhonda IslandsWest Tarachester| ND 82980,(130)445-2262x324,
GMC,Terrain,2010,ForestGreen,1848,60,1848,1987-07-23,484.814495403598,Maintain at view key great.,Faith Lambert,76145 Breanna Road Apt. 821Ashleymouth| IL 94550,(716)486-9970x169,
Nissan,Sentra,2012,LightSalmon,5403,0,5403,2004-04-11,289222.627931322,Improve stand act from.,Sharon Hawkins,990 Christopher Trafficway Apt. 593Danielletown| CT 38770,+1-237-216-2301x967,
INFINITI,G,2006,CadetBlue,6437,59,6437,2012-11-14,592052.115679824,Within trade senior form set.,Mary Glover,58204 Jones SpurSouth Julia| WI 26464,(522)565-7294x68935,
GMC,Savana 3500 Cargo,2008,HoneyDew,1479,48,1479,2011-12-04,8305.70923341241,Option thought money.,Alexis Hughes,26605 Wheeler Ranch Suite 954Lake Matthew| LA 65314,330.177.1263,
Maserati,Quattroporte,2011,Gold,2010,6,2010,1993-10-12,82524657.4714425,City ten left.,Kenneth Bowers,105 Lloyd RoadsDelacruzmouth| FL 87650,001-657-212-2822x0084,
GMC,Yukon XL 2500,2002,OrangeRed,7590,13,7590,1987-02-14,66360732.9010154,Pick exist result kind both.,Randall Smith,3581 Peter VillagesRonaldton| UT 25439,491.561.8741x340,
GMC,Yukon,1992,Peru,7188,35,7188,1990-05-28,85.5376715092875,Treat pick next forward miss each.,Jennifer Soto,662 Deborah GardenNorth Loriton| MN 98171,(433)524-5895x189,
Lincoln,Navigator,2015,DodgerBlue,2481,15,2481,2004-06-20,2519016.56951038,Onto eye region marriage its join.,Michael Liu,04366 Pittman Lock Apt. 348Delacruzberg| ND 67012,(460)507-5238,
Ford,E250 Super Duty Cargo,2005,LightSkyBlue,6485,42,6485,1973-02-26,84915674319.6118,Relationship because admit mission.,Kelly Solis,538 Cox PinesWilliamhaven| NY 40890,(500)024-2914x00455,
Ram,1500 Crew Cab,2012,MistyRose,5722,47,5722,2004-07-19,21459845.8344873,Race yes natural religious her.,Mario Johnston,578 Matthew ViaductPort Christopherside| FL 52919,(465)454-5738,
Chevrolet,Express 2500 Passenger,1999,Sienna,9455,54,9455,1985-09-12,78639.2243804754,Party tonight million fast as focus.,Grant Mcdowell,50833 Kristina KnollPerezstad| UT 15719,837.241.2296x792,
